s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-5.1663608E-004, 1.1456935E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0206673E-004, 0.0000000E+000, 0.0000000E+000
 2.2821774E-001, 8.9391911E-001,-2.9702780E-001,-5.8030096E-001, 3.9270547E-006,-1.8410720E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6441454E-004,-1.8164414E-003, 1.4740645E-004, 1.4740645E-004
 4.5643547E-001, 2.9184080E+000,-1.0060446E+000,-1.8900111E+000,-7.3093006E-004,-2.7175342E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2593389E-003,-5.5540272E-003, 2.8068682E-004, 2.8068682E-004
 6.8465322E-001, 5.1257039E+000,-1.7804751E+000,-3.3139124E+000,-5.3846982E-003,-3.3767990E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1882033E-003,-7.8363489E-003, 3.9065635E-004, 3.9065635E-004
 9.1287094E-001, 7.1013087E+000,-2.4408902E+000,-4.6012846E+000,-1.9060682E-002,-4.5231793E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1408237E-003,-5.1586815E-003, 4.7474336E-004, 4.7474336E-004
 1.1410886E+000, 8.6933790E+000,-3.0107386E+000,-5.5616841E+000,-4.4069251E-002,-7.3866233E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6059958E-003, 3.0208473E-003, 5.3537388E-004, 5.3537388E-004
 1.3693064E+000, 9.8931924E+000,-3.4274657E+000,-6.2702405E+000,-7.2314615E-002,-1.1504663E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2995604E-003, 8.1248359E-003, 5.7726498E-004, 5.7726498E-004
 1.5975242E+000, 1.0755497E+001,-3.6673957E+000,-6.8614625E+000,-9.3521110E-002,-1.3319885E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7318017E-003,-8.1306075E-005, 6.0536227E-004, 6.0536227E-004
 1.8257419E+000, 1.1351172E+001,-3.9203772E+000,-7.2126062E+000,-9.7072715E-002,-1.4087663E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0642988E-002,-1.9760378E-002, 6.2383456E-004, 6.2383456E-004
 2.0539596E+000, 1.1752380E+001,-4.0651794E+000,-7.4812642E+000,-8.7272988E-002,-1.4495734E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4053211E-002,-2.6293706E-002, 6.3581979E-004, 6.3581979E-004
 2.2821772E+000, 1.2017618E+001,-4.0756311E+000,-7.7434135E+000,-7.6326591E-002,-1.4721084E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6834977E-002,-2.4963593E-002, 6.4352965E-004, 6.4352965E-004
 2.5103951E+000, 1.2190428E+001,-4.1905275E+000,-7.8069034E+000,-7.0817776E-002,-1.4848751E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2116650E-002,-2.6308520E-002, 6.4846189E-004, 6.4846189E-004
 2.7052999E+000, 1.1870222E+001,-4.0772880E+000,-7.5970887E+000,-7.6053189E-002,-1.4904190E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6059758E-002,-2.9250042E-002, 6.5123077E-004, 6.5123077E-004
 2.9002044E+000, 1.2179958E+001,-4.1051417E+000,-7.8666549E+000,-8.1553299E-002,-1.4924627E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5930616E-002,-2.2638337E-002, 6.5311250E-004, 6.5311250E-004
 3.0726511E+000, 1.2005060E+001,-4.0934513E+000,-7.6912307E+000,-8.8955396E-002,-1.4912995E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2993388E-002,-1.7707884E-002, 6.5426665E-004, 6.5426665E-004
 3.2450979E+000, 1.2244802E+001,-4.1788515E+000,-7.8371265E+000,-9.6548634E-002,-1.4891097E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9511493E-002,-1.6635272E-002, 6.5508536E-004, 6.5508536E-004
 3.3997331E+000, 1.2088249E+001,-4.0482793E+000,-7.7995560E+000,-1.0468560E-001,-1.4876683E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5565909E-002,-1.3038317E-002, 6.5561473E-004, 6.5561473E-004
 3.5381873E+000, 1.2011045E+001,-4.0548757E+000,-7.7091721E+000,-1.1083654E-001,-1.4883754E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5716130E-002,-1.2676442E-002, 6.5596825E-004, 6.5596825E-004
 3.6766417E+000, 1.2226692E+001,-4.1320178E+000,-7.8440111E+000,-1.1486017E-001,-1.4904022E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5843125E-002,-1.3236900E-002, 6.5623639E-004, 6.5623639E-004
 3.8150959E+000, 1.2345533E+001,-4.1287686E+000,-7.9648761E+000,-1.1789764E-001,-1.4928132E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6378565E-002,-1.5290730E-002, 6.5643975E-004, 6.5643975E-004
 3.9535501E+000, 1.2411471E+001,-4.1753048E+000,-7.9854126E+000,-1.1952503E-001,-1.4950954E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8174261E-002,-1.8280859E-002, 6.5659396E-004, 6.5659396E-004
