s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-5.1417223E-004,-1.9581332E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1613036E-004, 0.0000000E+000, 0.0000000E+000
 2.2821774E-001, 9.1592420E-001,-1.2130305E-005, 1.5494223E-002, 2.6782703E-008, 3.1499452E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4467055E-004, 9.3172132E-001, 1.4740645E-004, 1.4740645E-004
 4.5643547E-001, 2.9484247E+000,-2.0670164E-004, 5.0400243E-002,-1.4708300E-003, 4.6808177E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3087940E-001, 2.9976155E+000, 2.8068682E-004, 2.8068682E-004
 6.8465322E-001, 5.1442772E+000,-4.3469693E-001, 8.0559289E-002,-1.0259276E-002, 6.0569049E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9929313E+000, 4.7804860E+000, 3.9065635E-004, 3.9065635E-004
 9.1287094E-001, 7.1006414E+000,-1.1907066E+000, 1.0071223E-001,-3.0704503E-002, 8.4688121E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7698499E+000, 5.9807894E+000, 4.7474336E-004, 4.7474336E-004
 1.1410886E+000, 8.6801191E+000,-2.5469861E+000, 1.0343744E-001,-6.1802025E-002, 1.5447042E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9628049E+000, 6.1763131E+000, 5.3537388E-004, 5.3537388E-004
 1.3693064E+000, 9.8770067E+000,-4.2433239E+000, 9.4172111E-002,-8.8312052E-002, 2.0985750E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1540281E+000, 5.6416414E+000, 5.7726498E-004, 5.7726498E-004
 1.5975242E+000, 1.0749544E+001,-4.4315990E+000, 1.0582679E-001,-9.2823276E-002, 2.3161397E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6253729E+000, 6.3332651E+000, 6.0536227E-004, 6.0536227E-004
 1.8257419E+000, 1.1349195E+001,-3.8490763E+000, 1.2617179E-001,-8.4622379E-002, 2.4217590E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3241762E+000, 7.5440895E+000, 6.2383456E-004, 6.2383456E-004
