s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.0493260E-001, 5.7157988E+000,-1.9896586E+000, 1.5371953E-001, 7.4109504E-005,-1.3427235E-001, 7.7437085E-001, 0.0000000E+000, 0.0000000E+000, 3.6586111E-002, 4.5200323E+000, 1.0638775E-003, 1.0638775E-003,-1.1750605E+000
 4.0986520E-001, 1.8908378E+001,-6.6084886E+000, 2.3963547E-001,-7.2575243E-003,-2.0217071E-001, 3.3009171E+000, 0.0000000E+000, 0.0000000E+000, 5.4600815E+000, 1.5631014E+001, 2.0442497E-003, 2.0442497E-003,-8.8031064E-001
 6.1479777E-001, 3.3910036E+001,-1.1862713E+001, 4.0244895E-001,-5.6811323E-002,-3.4860029E-001, 7.0303581E+000, 0.0000000E+000, 0.0000000E+000, 1.7821302E+001, 2.9074718E+001, 2.8819210E-003, 2.8819210E-003, 8.5219048E-002
 8.1973040E-001, 4.8505273E+001,-1.6809336E+001, 5.6253919E-001,-1.9346483E-001,-4.9267922E-001, 1.0907145E+001, 0.0000000E+000, 0.0000000E+000, 3.1769215E+001, 4.2479478E+001, 3.5526772E-003, 3.5526772E-003, 1.8041917E+000
 1.0246630E+000, 6.1263001E+001,-2.1436188E+001, 7.7322701E-001,-4.5750852E-001,-6.9802042E-001, 1.4322316E+001, 0.0000000E+000, 0.0000000E+000, 4.5322194E+001, 5.3766827E+001, 4.0624044E-003, 4.0624044E-003, 4.2478637E+000
 1.2295955E+000, 7.1498687E+001,-2.5003506E+001, 1.1865750E+000,-7.8321763E-001,-1.1059996E+000, 1.7071333E+001, 0.0000000E+000, 0.0000000E+000, 5.6308214E+001, 6.2863871E+001, 4.4345726E-003, 4.4345726E-003, 7.2731617E+000
 1.4345281E+000, 7.9360453E+001,-2.6985145E+001, 1.3483192E+000,-9.0668887E-001,-1.2629706E+000, 1.9634745E+001, 0.0000000E+000, 0.0000000E+000, 6.5306850E+001, 7.1188712E+001, 4.6984421E-003, 4.6984421E-003, 1.0793059E+001
 1.6394608E+000, 8.5194765E+001,-2.9805413E+001, 1.4265699E+000,-8.2223618E-001,-1.3379132E+000, 2.1715151E+001, 0.0000000E+000, 0.0000000E+000, 7.4051719E+001, 7.6370923E+001, 4.8816565E-003, 4.8816565E-003, 1.4811022E+001
 1.7946218E+000, 9.7645020E+001,-3.4124085E+001, 1.4620753E+000,-6.3741933E-001,-1.3713694E+000, 2.4116808E+001, 0.0000000E+000, 0.0000000E+000, 7.9014076E+001, 8.7091030E+001, 4.9808747E-003, 4.9808747E-003, 1.8059166E+001
 1.9063829E+000, 9.5105919E+001,-3.2371729E+001, 1.4792050E+000,-6.6450226E-001,-1.3875761E+000, 2.5646171E+001, 0.0000000E+000, 0.0000000E+000, 9.0717217E+001, 8.7807488E+001, 5.0363258E-003, 5.0363258E-003, 2.0747719E+001
 2.0181441E+000, 9.5921055E+001,-3.3524878E+001, 1.4923004E+000,-6.5258169E-001,-1.3999349E+000, 2.5460489E+001, 0.0000000E+000, 0.0000000E+000, 8.9682231E+001, 8.7296450E+001, 5.0811037E-003, 5.0811037E-003, 2.3408190E+001
 2.1299052E+000, 9.4656197E+001,-3.3042793E+001, 1.5021894E+000,-6.4784954E-001,-1.4091451E+000, 2.5278365E+001, 0.0000000E+000, 0.0000000E+000, 8.9400581E+001, 8.6336964E+001, 5.1171936E-003, 5.1171936E-003, 2.6063269E+001
 2.2416663E+000, 9.2713231E+001,-3.1636738E+001, 1.5091957E+000,-6.3571777E-001,-1.4155128E+000, 2.5013144E+001, 0.0000000E+000, 0.0000000E+000, 8.8303723E+001, 8.5547602E+001, 5.1462363E-003, 5.1462363E-003, 2.8684206E+001
 2.3388960E+000, 8.8598554E+001,-3.0911422E+001, 1.5128389E+000,-6.2780197E-001,-1.4187560E+000, 2.4214134E+001, 0.0000000E+000, 0.0000000E+000, 8.7462123E+001, 8.1367547E+001, 5.1668252E-003, 5.1668252E-003, 3.0942554E+001
