s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.2821774E-001, 8.9975560E-001,-3.1431696E-001,-5.7861872E-001, 7.3982063E-006,-2.3172228E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6338366E-003,-1.6344916E-002, 1.4939828E-004, 1.4939828E-004
 4.5643547E-001, 2.9332054E+000,-1.0235818E+000,-1.9268437E+000,-7.0934628E-004,-3.5290708E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9247782E-003,-5.3220159E-002, 2.8447960E-004, 2.8447960E-004
 6.8465322E-001, 5.1401901E+000,-1.7971702E+000,-3.3839796E+000,-5.4099632E-003,-4.4634341E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9643208E-002,-9.1003936E-002, 3.9593509E-004, 3.9593509E-004
 9.1287094E-001, 7.1090632E+000,-2.4759511E+000,-4.6775358E+000,-1.7644986E-002,-5.8157120E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2528690E-002,-1.2022590E-001, 4.8115834E-004, 4.8115834E-004
 1.1410886E+000, 8.6879842E+000,-3.0343464E+000,-5.6625075E+000,-3.8873263E-002,-9.0784504E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7533488E-002,-1.3852742E-001, 5.4260812E-004, 5.4260812E-004
 1.3693064E+000, 9.8848655E+000,-3.4529335E+000,-6.3787569E+000,-6.5761808E-002,-1.3803216E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3337607E-002,-1.5061893E-001, 5.8506528E-004, 5.8506528E-004
 1.5975242E+000, 1.0752397E+001,-3.7297940E+000,-6.9420730E+000,-8.9483643E-002,-1.6128119E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2437938E-002,-1.7023485E-001, 6.1354223E-004, 6.1354223E-004
 1.8257419E+000, 1.1350026E+001,-3.9664402E+000,-7.3135216E+000,-9.6719921E-002,-1.7135970E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3948063E-002,-1.9801574E-001, 6.3226413E-004, 6.3226413E-004
 2.0539596E+000, 1.1751945E+001,-4.1007543E+000,-7.5988032E+000,-9.0572012E-002,-1.7648620E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1891654E-002,-2.1467081E-001, 6.4441131E-004, 6.4441131E-004
 2.2821772E+000, 1.2017471E+001,-4.1642229E+000,-7.8118520E+000,-8.0654041E-002,-1.7926815E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8846874E-002,-2.1852565E-001, 6.5222534E-004, 6.5222534E-004
 2.5103951E+000, 1.2190409E+001,-4.2583264E+000,-7.9005680E+000,-7.3960184E-002,-1.8081430E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3993795E-002,-2.2325983E-001, 6.5722423E-004, 6.5722423E-004
 2.7048266E+000, 1.1863499E+001,-4.1411067E+000,-7.6848490E+000,-7.8507328E-002,-1.8146778E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1207702E-002,-2.2243200E-001, 6.6002495E-004, 6.6002495E-004
 2.8992581E+000, 1.2176521E+001,-4.2151357E+000,-7.9165797E+000,-8.3730919E-002,-1.8171837E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9079991E-002,-2.2064394E-001, 6.6193009E-004, 6.6193009E-004
 3.0687420E+000, 1.1964192E+001,-4.1700434E+000,-7.7340978E+000,-9.0655514E-002,-1.8158772E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5171760E-002,-2.1219262E-001, 6.6308512E-004, 6.6308512E-004
 3.2382262E+000, 1.2222448E+001,-4.2600632E+000,-7.8984329E+000,-9.7689265E-002,-1.8133411E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9081061E-002,-2.1507173E-001, 6.6390930E-004, 6.6390930E-004
