INFO [preprocess_fds.py:main:487]  fds_path: ../demos/A_smoke_sensor/FDS
WARNING [preprocess_fds.py:main:490]  Delete ../demos/A_smoke_sensor/FDS/3_sfgrids
INFO [preprocess_fds.py:main:497]  Create ../demos/A_smoke_sensor/FDS/3_sfgrids
INFO [preprocess_fds.py:main:500]  script path: </Users/benhein/Workspace/jpsfire/src>
INFO [preprocess_fds.py:main:501]  fds path: <../demos/A_smoke_sensor/FDS>
INFO [preprocess_fds.py:main:502]  fds_file: ['../demos/A_smoke_sensor/FDS/smoke_sensor.fds']
INFO [preprocess_fds.py:main:509]  jps_path: ../demos/A_smoke_sensor/JuPedSim
INFO [preprocess_fds.py:main:512]  Quantity: EXTINCTION_COEFFICIENT
INFO [preprocess_fds.py:main:515]  Specified location: Z 2.25
INFO [preprocess_fds.py:main:517]  t_start: 0.0
INFO [preprocess_fds.py:main:519]  t_stop: 200.0
WARNING [preprocess_fds.py:get_tstep:97]  Looking for inifile. Pattern <../demos/A_smoke_sensor/JuPedSim/*ini*.xml>
WARNING [preprocess_fds.py:get_tstep:104]  Found inifile ../demos/A_smoke_sensor/JuPedSim/ini.xml
INFO [preprocess_fds.py:main:521]  t_step: 10.0
INFO [preprocess_fds.py:main:523]  Plot: On
INFO [preprocess_fds.py:main:528]  FDS coordinates are xmin = -10.00, xmax = 25.00, ymin = 0.00, ymax = 10.00
INFO [preprocess_fds.py:main:532]  FDS grid resolution is dx = 0.25, dy = 0.25, dz = 0.25
INFO [preprocess_fds.py:main:545]  smv file found: smoke_sensor.smv
DEBUG [slice.py:readSliceInfos:463]  scanning smv file for slices: ../demos/A_smoke_sensor/FDS/smoke_sensor.smv
DEBUG [slice.py:readSliceInfos:474]  slice centered: True
DEBUG [slice.py:readSliceInfos:493]  slice info: 0 [[0, 140], [0, 20], [10, 10]]
DEBUG [slice.py:readSliceInfos:474]  slice centered: True
DEBUG [slice.py:readSliceInfos:493]  slice info: 1 [[0, 140], [0, 20], [10, 10]]
DEBUG [slice.py:readMeshes:119]  scanning smv file for meshes: ../demos/A_smoke_sensor/FDS/smoke_sensor.smv
DEBUG [slice.py:readMeshes:130]  found MESH with label: Mesh1
DEBUG [slice.py:readMeshes:141]  number of cells: 141 x 21 x 11
DEBUG [slice.py:readMeshes:130]  found MESH with label: Mesh2
DEBUG [slice.py:readMeshes:141]  number of cells: 141 x 21 x 11
INFO [preprocess_fds.py:main:558]  found matching slice with id: 0
INFO [preprocess_fds.py:main:558]  found matching slice with id: 1
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0000.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0001.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0002.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0003.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0004.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0005.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0006.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0007.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0008.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0009.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0010.png
INFO [preprocess_fds.py:main:606]  plot slicedata: ../demos/A_smoke_sensor/FDS/2_extinction_grids/EXTINCTION_COEFFICIENT/Z_2.250000/single_slice_0011.png
INFO [preprocess_fds.py:get_exits:244]  Geometry file: geo.xml
INFO [preprocess_fds.py:main:618]  Generation of smoke factor grids with mesh resolution: 1.0 [m]
INFO [preprocess_fds.py:main:625]  --------------------------------------------------
INFO [preprocess_fds.py:main:626]  Processing files for time: 0s
INFO [preprocess_fds.py:smoke_factor_conv:312]  Door_path -- 
 ../demos/A_smoke_sensor/FDS/3_sfgrids/EXTINCTION_COEFFICIENT/Z_2.250000/Door_X_12.500000_Y_5.000000
INFO [preprocess_fds.py:smoke_factor_conv:372]  Call save
INFO [preprocess_fds.py:smoke_factor_conv:375]  Write smoke factor grid -- 
 ../demos/A_smoke_sensor/FDS/3_sfgrids/EXTINCTION_COEFFICIENT/Z_2.250000/Door_X_12.500000_Y_5.000000/t_0.000000.npz
INFO [preprocess_fds.py:main:631]  --------------------------------------------------
INFO [preprocess_fds.py:main:632]  Plotting files for time: 0s and Exit: cross_0
