s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1546319E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1546319E-017, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 1.1024234E+000, 0.0000000E+000, 1.8750574E-002, 3.4682000E-009, 4.2289897E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6477568E-008, 1.1215969E+000, 1.6310513E-004, 1.6310513E-004
 5.0000000E-001, 3.3967975E+000,-5.8165144E-005, 5.8375178E-002,-2.1354635E-003, 6.4778042E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1204590E+000, 3.4536269E+000, 3.0774984E-004, 3.0774984E-004
 7.5000000E-001, 5.7247830E+000,-2.2971221E-001, 9.4405120E-002,-1.4269441E-002, 8.8555345E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4473003E+000, 5.5760920E+000, 4.2298145E-004, 4.2298145E-004
 1.0000000E+000, 7.6874643E+000,-8.3553458E-001, 1.1707783E-001,-4.2157629E-002, 1.2966143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5610670E+000, 6.9281465E+000, 5.0718844E-004, 5.0718844E-004
 1.2500000E+000, 9.2244174E+000,-1.9608874E+000, 1.2270212E-001,-8.1117062E-002, 2.2771190E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9015775E+000, 7.3073922E+000, 5.6491985E-004, 5.6491985E-004
 1.5000000E+000, 1.0382064E+001,-3.1603128E+000, 1.2151711E-001,-1.0663821E-001, 2.7338366E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2754789E+000, 7.2393636E+000, 6.0278919E-004, 6.0278919E-004
 1.7500000E+000, 1.1157808E+001,-3.2921123E+000, 1.3285715E-001,-9.8535477E-002, 2.9161072E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2180143E+000, 7.9029340E+000, 6.2691498E-004, 6.2691498E-004
 2.0000000E+000, 1.1660602E+001,-2.7098003E+000, 1.5182446E-001,-7.9426247E-002, 3.0077128E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8939167E+000, 9.0262076E+000, 6.4200025E-004, 6.4200025E-004
 2.2500000E+000, 1.1980196E+001,-2.1239960E+000, 1.6752443E-001,-6.4847498E-002, 3.0567052E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0211234E+000, 9.9619334E+000, 6.5132267E-004, 6.5132267E-004
 2.4543717E+000, 1.3208245E+001,-3.7743714E+000, 1.6095760E-001,-5.9780468E-002, 3.0782609E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9523028E+000, 9.5381286E+000, 6.5619650E-004, 6.5619650E-004
 2.6587434E+000, 1.2695732E+001,-3.4972234E+000, 1.5670626E-001,-6.5876382E-002, 3.0891148E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5294248E+000, 9.2924275E+000, 6.5945508E-004, 6.5945508E-004
 2.8238699E+000, 1.3531163E+001,-3.3844669E+000, 1.7299845E-001,-7.0199510E-002, 3.0876897E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2849035E+000, 1.0252582E+001, 6.6127718E-004, 6.6127718E-004
 2.9889963E+000, 1.2957140E+001,-2.2866751E+000, 1.8153214E-001,-7.9255218E-002, 3.0826237E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0244018E+001, 1.0775824E+001, 6.6258990E-004, 6.6258990E-004
 3.1541228E+000, 1.2691831E+001,-2.6016001E+000, 1.7135336E-001,-8.7327901E-002, 3.0789116E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0768934E+001, 1.0177335E+001, 6.6353501E-004, 6.6353501E-004
 3.2879343E+000, 1.3396509E+001,-2.8430833E+000, 1.7934567E-001,-9.2620223E-002, 3.0842161E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0170311E+001, 1.0643235E+001, 6.6410275E-004, 6.6410275E-004
 3.4217458E+000, 1.2981923E+001,-3.0715109E+000, 1.6818241E-001,-9.8423549E-002, 3.0914405E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0635579E+001, 9.9832622E+000, 6.6453751E-004, 6.6453751E-004
 3.5555573E+000, 1.2755965E+001,-3.1529036E+000, 1.6288086E-001,-9.9525590E-002, 3.1000997E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9772484E+000, 9.6695164E+000, 6.6487038E-004, 6.6487038E-004
 3.6893687E+000, 1.2633679E+001,-3.0957337E+000, 1.6180285E-001,-9.7564505E-002, 3.1070286E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6644454E+000, 9.6052905E+000, 6.6512520E-004, 6.6512520E-004
 3.8079576E+000, 1.2965732E+001,-2.9580413E+000, 1.7000402E-001,-9.4618889E-002, 3.1110279E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6002724E+000, 1.0086186E+001, 6.6530060E-004, 6.6530060E-004
